시설id,등록일시,수정일시,시설명,서비스분류코드,서비스분류명,자치구코드,자치구명,행정동 코드,행정동명,x좌표값,y좌표값,우편번호,기본주소,상세주소,운영시작일,연락처,사용료무료여부,운영일,휴관일,이용정원(기관),이용정원(개인),신청가능연령,자치구코드배열
SC231001,2023-10-18T14:09:56,2026-04-14T11:50:00,서울형 키즈카페 서초구 문화예술공원점(서리풀노리학교 문화예술공원점),1011,서울형키즈카페,11650,서초구,3210055,양재1동,127.032415538457,37.469507699827,6769,서울특별시 서초구 바우뫼로12길 40, (양재동),2023-12-19T00:00:00,02-577-9340,N,화~일,"월요일, 노동절, 법정공휴일 ",,,4세 ~ 6세,11650
YS231001,2023-10-11T15:14:09,2026-03-12T15:50:45,서울형키즈카페 용산구한강로동점(용산도담도담실내놀이터),1011,서울형키즈카페,11170,용산구,3020107,한강로동,126.96661,37.52682,4387,서울특별시 용산구 서빙고로 17,"센트럴파크타워, 2층 (한강로3가)",2023-12-01T00:00:00,02-6367-3121,N,화요일~일요일,"월, 공휴일(어린이날 제외) 및 근로자의 날",,,5세 ~ 9세,11170
YF231001,2023-10-11T13:45:08,2026-04-15T17:40:18,서울형 키즈카페 영등포구 대림2동점,1011,서울형키즈카페,11560,영등포구,3180062,대림2동,126.90537978229,37.4882038549553,7444,서울특별시 영등포구 시흥대로 625,"상가 2층 (대림동, 영등포자이르네)",2023-11-16T00:00:00,02-833-6077,N,화 ~ 일,"월요일, 근로자의 날, 법정공휴일",,,0세 ~ 6세,11560
DJ230901,2023-09-27T17:34:09,2026-04-15T17:02:39,서울형 키즈카페 시립 1호점,1011,서울형키즈카페,11590,동작구,3190056,대방동,126.92731,37.51245,6938,서울특별시 동작구 노량진로 10,서울가족플라자 지하2층 (대방동),2023-10-28T00:00:00,02-824-0614,N,화~일,"월, 명절 및 공휴일, 근로자의 날",,,4세 ~ 10세,11590
GS230801,2023-08-11T18:24:47,2026-03-13T17:44:21,서울형 키즈카페 강서구 발산1동점,1011,서울형키즈카페,11500,강서구,3150059,발산1동,126.826237282211,37.5495007291146,7641,서울특별시 강서구 수명로2길 50, (내발산동) 2층 서울형 키즈카페,2023-10-17T00:00:00,02-2064-2731,N,화요일~일요일,"월요일,명절, 공휴일, 근로자의 날, 정부에서 지정한 휴일",,,2세 ~ 6세,11500
MP230802,2023-08-07T14:48:27,2026-04-28T14:00:51,서울형 키즈카페 마포구 상암점,1011,서울형키즈카페,11440,마포구,3130062,상암동,126.88362,37.58052,3905,서울특별시 마포구 상암산로1길 71,마포구육아종합지원센터 2~3층 서울형 키즈카페 마포구 상암점 (상암동),2023-09-01T00:00:00,070-4948-1276,N,화~일,"월요일, 명절 및 공휴일, 근로자의날",,,1세 ~ 6세,11440
DJ230701,2023-07-12T17:05:37,2026-03-22T09:38:01,서울형 키즈카페 동작구 대방동점(동작키즈카페),1011,서울형키즈카페,11590,동작구,3190056,대방동,126.92299,37.50462,6945,서울특별시 동작구 여의대방로36길 11,4층 (대방동),2023-08-05T00:00:00,02-823-4587,N,화~일,"월요일, 명절 및 공휴일, 근로자의 날",,,0세 ~ 6세,11590
GB230601,2023-06-08T15:59:54,2026-03-25T11:53:34,서울형 키즈카페 강북구 번3동점(강북구 'PLAY ON'),1011,서울형키즈카페,11305,강북구,3080051,번3동,127.042760625104,37.6292886105339,1224,서울특별시 강북구 오현로 208,"번동주공아파트 309동, 1층 (주민복지관 1, 어린이실내놀이터)",2023-08-01T00:00:00,02-988-0271,N,월요일 ~ 토요일,"일요일, 명절 및 법정공휴일, 근로자의 날",,,4세 ~ 8세,11305
GJ230202,2023-02-28T10:18:05,2026-04-29T14:20:17,서울형 키즈카페 광진구 중곡3동점(꾸미팡팡 놀이터),1011,서울형키즈카페,11215,광진구,3040044,중곡3동,127.08457341402,37.5654292059301,4933,서울특별시 광진구 능동로 400,보건복지행정타운 별관 3층(중곡동),2023-04-01T00:00:00,02-467-1827,N,화요일~일요일 09:00~18:00 ,"월요일, 법정공휴일, 대체휴무일, 근로자의 날",,,1세 ~ 6세,11215
GD230202,2023-02-22T17:00:08,2026-04-06T09:18:42,서울형 키즈카페 강동구 암사1동점(아이?맘 강동),1011,서울형키즈카페,11740,강동구,3240045,암사1동,127.12903,37.55141,5263,서울특별시 강동구 올림픽로98길 15,",3층 (암사동)",2023-03-28T00:00:00,02-3425-9489,N,월~토,"일요일, 명절 및 공휴일",,,0세 ~ 6세,11740
GD230201,2023-02-15T11:11:46,2026-01-07T13:43:14,서울형 키즈카페 강동구 고덕2동점(아이?맘 강동),1011,서울형키즈카페,11740,강동구,3240044,고덕2동,127.164724654773,37.5576793162611,5224,서울특별시 강동구 고덕로 353,일반상가 2층,2023-03-28T00:00:00,02-3425-9435,N,화~일,"월요일, 명절 및 공휴일",,,0세 ~ 6세
SD221201,2022-12-27T14:43:08,2026-04-29T17:45:27,서울형 키즈카페 성동구 금호2?3가동점(금호 키즈카페),1011,서울형키즈카페,11200,성동구,3030120,금호2-3가동,127.02098,37.55322,4728,서울특별시 성동구 무수막18길 1,"금호2,3가동주민센터 4층 (금호동2가)",2023-01-18T00:00:00,02-6952-6799,N,월요일 ~ 토요일,"일요일, 법정공휴일, 근로자의 날",,,0세 ~ 6세,11200
DJ221102,2022-11-15T18:34:53,2026-04-14T09:50:02,서울형 키즈카페 동작구 상도3동점(동작키즈카페),1011,서울형키즈카페,11590,동작구,3190043,상도3동,126.93237,37.50199,6951,서울특별시 동작구 상도로15가길 16,가온어린이집 3층 서울형키즈카페 (상도동),2023-01-31T00:00:00,070-7163-1474,N,화~일,"월요일, 근로자의날, 명절 및 공휴일",,,0세 ~ 6세,11590
YC221101,2022-11-09T14:50:18,2026-03-26T17:13:26,서울형 키즈카페 양천구 신정7동점,1011,서울형키즈카페,11470,양천구,3140058,신정7동,126.870331729534,37.5098388678415,8102,서울특별시 양천구 목동남로 106-23, (신정동),2023-04-01T00:00:00,02-2135-5946,N,화~일,"월, 법정공휴일, 근로자의 날",,,3세 ~ 6세,11470
JR220801,2022-08-23T09:56:36,2026-04-07T11:38:46,서울형 키즈카페 중랑구 면목4동점(중랑실내놀이터 면목4동점),1011,서울형키즈카페,11260,중랑구,3060042,면목4동,127.084645673609,37.572522933849,2255,서울특별시 중랑구 용마산로 209,"공공기여시설1층 (면목동, 쌍용 더 플래티넘 용마산)",2023-02-15T00:00:00,02-2207-1123,N,화요일 ~ 일요일 10:00~20:00,"월요일, 법정공휴일(어린이날 제외), 근로자의 날, 그 밖에 센터장이 지정한 날, 월요일이 공휴일인 경우 그 다음날을 휴관일로 지정",,,2세 ~ 6세,11260
JN220501,2022-05-24T16:46:37,2026-04-14T09:44:45,서울형 키즈카페 종로구 혜화동점(종로 혜명 아이들 상상놀이터),1011,서울형키즈카페,11110,종로구,3000054,혜화동,126.99881,37.59048,3066,서울특별시 종로구 성균관로 91,올림픽기념국민생활관 2층 (혜화동),2023-05-01T00:00:00,02-742-3320,N,화요일 ~ 일요일 (공휴일 제외),"월요일, 국가공휴일, 근로자의 날",,,4세 ~ 8세,11110
